Date,Close/Last,Volume,Open,High,Low
06/19/2017,$14.23,4720364,$14.125,$14.39,$14.08
06/16/2017,$14.17,5264678,$13.965,$14.24,$13.76
06/15/2017,$13.875,5458974,$14.00,$14.12,$13.765
06/14/2017,$14.11,5730402,$14.69,$14.715,$14.055
06/13/2017,$14.84,4753762,$14.79,$14.875,$14.56
06/12/2017,$14.695,4933694,$14.765,$15.045,$14.545
06/09/2017,$14.625,6065286,$14.385,$14.745,$14.355
06/08/2017,$14.315,5641090,$14.19,$14.535,$14.16
06/07/2017,$14.265,4552774,$14.625,$14.735,$14.175
06/06/2017,$14.735,4786068,$14.515,$14.77,$14.43
06/05/2017,$14.555,5288892,$14.38,$14.65,$14.265
06/02/2017,$14.425,3877826,$14.4725,$14.485,$14.2675
06/01/2017,$14.585,3620414,$14.445,$14.73,$14.425
05/31/2017,$14.43,7713740,$14.38,$14.52,$14.33
05/30/2017,$14.53,5352746,$14.665,$14.72,$14.445
05/26/2017,$14.865,5610940,$14.95,$15.02,$14.785
05/25/2017,$14.91,5189302,$15.20,$15.565,$14.75
05/24/2017,$15.28,4095694,$15.225,$15.44,$15.175
05/23/2017,$15.275,7289100,$15.61,$15.695,$15.195
05/22/2017,$15.56,2975294,$15.70,$15.70,$15.445
05/19/2017,$15.54,5067130,$15.375,$15.63,$15.345
05/18/2017,$15.22,6054562,$15.05,$15.3275,$14.87
05/17/2017,$15.135,4152198,$15.54,$15.565,$15.125
05/16/2017,$15.595,5797604,$15.82,$15.88,$15.555
05/15/2017,$15.71,3972036,$15.815,$16.01,$15.705
05/12/2017,$15.405,4510752,$15.46,$15.605,$15.33
05/11/2017,$15.49,5416222,$15.81,$15.81,$15.4575
05/10/2017,$15.725,3969750,$15.585,$15.83,$15.4225
05/09/2017,$15.42,4274496,$15.735,$15.745,$15.275
05/08/2017,$15.695,3438924,$15.445,$15.775,$15.36
05/05/2017,$15.495,5253852,$15.07,$15.5125,$14.935
05/04/2017,$15.055,10284520,$15.355,$15.435,$14.89
05/03/2017,$15.765,3957216,$15.79,$16.00,$15.75
05/02/2017,$15.84,4687952,$15.945,$16.09,$15.6875
05/01/2017,$15.965,2750282,$15.905,$16.0475,$15.84
04/28/2017,$15.935,6187792,$16.015,$16.135,$15.885
04/27/2017,$15.94,6733160,$16.42,$16.445,$15.735
04/26/2017,$16.56,4266432,$16.52,$16.945,$16.445
04/25/2017,$16.705,3833984,$16.37,$16.7425,$16.27
04/24/2017,$16.38,2660656,$16.49,$16.53,$16.355
04/21/2017,$16.335,5385704,$16.265,$16.4075,$16.1351
04/20/2017,$16.265,3595308,$16.235,$16.565,$16.20
04/19/2017,$16.205,4876418,$16.47,$16.705,$16.1375
04/18/2017,$16.52,4677600,$16.71,$16.86,$16.485
04/17/2017,$16.885,2655524,$16.725,$16.935,$16.645
04/13/2017,$16.645,4924284,$16.87,$16.905,$16.575
04/12/2017,$16.845,2946332,$17.025,$17.15,$16.82
04/11/2017,$16.985,4491180,$16.98,$17.155,$16.845
04/10/2017,$16.99,3409760,$16.735,$17.13,$16.73
04/07/2017,$16.645,4372650,$16.795,$16.90,$16.62
04/06/2017,$16.70,3066762,$16.67,$16.795,$16.605
04/05/2017,$16.57,7316950,$16.775,$16.965,$16.57
04/04/2017,$16.63,7505366,$16.325,$16.655,$16.225
04/03/2017,$16.335,5205660,$16.325,$16.41,$16.115
03/31/2017,$16.395,7480154,$16.28,$16.4275,$16.1775
03/30/2017,$16.28,7674060,$16.525,$16.62,$16.245
03/29/2017,$16.445,10160840,$15.99,$16.52,$15.985
03/28/2017,$15.995,7530150,$15.915,$16.10,$15.835
03/27/2017,$15.855,5107034,$15.78,$15.94,$15.765
03/24/2017,$16.01,7681022,$15.975,$16.115,$15.89
03/23/2017,$15.96,4518228,$15.945,$16.065,$15.84
03/22/2017,$16.01,5411470,$15.77,$16.035,$15.725
03/21/2017,$15.895,5806122,$16.22,$16.37,$15.86
03/20/2017,$16.115,4560472,$16.22,$16.3545,$16.02
03/17/2017,$16.37,5889748,$16.455,$16.5682,$16.325
03/16/2017,$16.41,6744240,$16.51,$16.695,$16.41
03/15/2017,$16.43,11498242,$15.74,$16.485,$15.695
03/14/2017,$15.63,4954410,$15.575,$15.75,$15.415
03/13/2017,$15.895,4207680,$16.08,$16.195,$15.84
03/10/2017,$16.105,10272394,$16.155,$16.6475,$15.735
03/09/2017,$16.025,17372838,$15.33,$16.075,$15.07
03/08/2017,$14.61,6066832,$15.285,$15.295,$14.595
03/07/2017,$15.385,5599798,$15.55,$15.615,$15.385
03/06/2017,$15.55,7516262,$15.61,$15.635,$15.355
03/03/2017,$15.61,12370136,$15.215,$15.795,$15.175
03/02/2017,$15.115,19104544,$14.63,$15.355,$14.40
03/01/2017,$14.41,15725236,$14.495,$14.56,$14.325
02/28/2017,$14.355,7844088,$14.355,$14.455,$14.255
02/27/2017,$14.555,7747848,$14.465,$14.605,$14.335
02/24/2017,$14.405,7609070,$14.595,$14.62,$14.31
02/23/2017,$14.70,7267468,$14.82,$14.8775,$14.66
02/22/2017,$14.525,4853262,$15.00,$15.065,$14.52
02/21/2017,$15.12,3565758,$15.15,$15.25,$15.035
02/17/2017,$15.035,4735392,$15.06,$15.115,$14.955
02/16/2017,$15.17,6089808,$15.29,$15.545,$15.13
02/15/2017,$15.205,6196518,$15.14,$15.30,$15.11
02/14/2017,$15.18,4725494,$15.025,$15.195,$14.93
02/13/2017,$14.975,4188520,$14.965,$15.02,$14.89
02/10/2017,$15.08,5077924,$15.15,$15.245,$15.035
02/09/2017,$14.85,4174758,$14.625,$14.865,$14.625
02/08/2017,$14.395,10532810,$14.325,$14.575,$14.1919
02/07/2017,$14.415,5774910,$14.74,$14.86,$14.4025
02/06/2017,$14.875,3289082,$15.245,$15.31,$14.8575
02/03/2017,$15.31,4291656,$15.505,$15.555,$15.305
02/02/2017,$15.485,7458796,$15.22,$15.525,$15.21
02/01/2017,$15.065,4082212,$15.195,$15.20,$14.8875
01/31/2017,$15.115,3694074,$15.095,$15.125,$14.945
01/30/2017,$14.90,6954586,$15.255,$15.305,$14.765
01/27/2017,$15.34,5558764,$15.385,$15.4625,$15.235
01/26/2017,$15.36,3330510,$15.37,$15.415,$15.28
01/25/2017,$15.305,3124274,$15.125,$15.31,$15.08
01/24/2017,$15.04,7876086,$14.945,$15.155,$14.885
01/23/2017,$14.795,4635716,$15.21,$15.245,$14.7775
01/20/2017,$15.37,4345290,$15.375,$15.60,$15.325
01/19/2017,$15.165,6163810,$15.29,$15.365,$15.115
01/18/2017,$15.31,3043808,$15.555,$15.725,$15.2925
01/17/2017,$15.75,4197390,$15.91,$16.075,$15.7125
